3209,Freeport Rd at Western Ave,-79.907318166668,40.490627265005
3210,Freeport Rd at Original Mattress Factory,-79.90909184457598,40.491959583434
16887,Main St at 23rd St,-79.914396941138,40.493423677724
12693,Main St at 21st St,-79.915718926588,40.493666885777
12694,Main St at 19th St,-79.917974031085,40.494090877775
12695,Main St at #1834,-79.92023665807,40.494445051834
12696,Main St at 18th St,-79.921517564816,40.494584082655
12697,Main St at #1704,-79.922975042328,40.494702415955
12698,Main St at 16th St,-79.925223717593,40.494672408218
12699,Main St at 15th St,-79.9264767209,40.494565328797
12700,Main St at 14th St,-79.927416135583,40.494489733908
12701,Main St at 13th St,-79.929425248679,40.494372305744
12702,Main St at #1102,-79.930817282408,40.494276234022
12703,Main St at Canal St,-79.932389243387,40.494596321048
12704,Main St at 9th St,-79.933609000001,40.494627479962
12705,Main St at 8th St,-79.934437132937,40.494642154363
12706,Main St at 6th St,-79.935881274473,40.494708877215
12707,Main St at Garnier St,-79.937427344575,40.495313241283
12708,Main St at Powers St,-79.938192951718,40.495592947128
12710,Freeport St at Garden Alley,-79.942390494046,40.49673503406
12711,Freeport St at Butler St,-79.943927822089,40.496508391518
3369,Butler St opp Center St,-79.945536279762,40.495321867657
3370,Butler St opp Isabella St,-79.946579765875,40.494419206266
3371,Butler St at Washington St,-79.947998926588,40.493587677706
20674,East Ohio St at Grant Ave ,-79.968973318782,40.47823635768
20781,31st St Bridge Ramp at Rialto St,-79.979782005953,40.465081978756
18354,East Ohio St past Chestnut St,-79.995406550925,40.454535251299
1997,East Ohio St at Middle St,-79.998990226192,40.453815433648
1998,East Ohio St at James St,-80.00056357936614,40.45354700463591
175,Cedar Ave opp Pressley St,-80.00119645767398,40.451615446349
176,Anderson St at Lacock St,-80.001107853176,40.449924251054
177,Anderson St at General Robinson St,-80.00080484457897,40.449032031562
178,Anderson St at Isabella St,-80.000581064816,40.448328522567
12626,7th St past Penn Ave,-80.00017305357198,40.442932350172
15283,Liberty Ave opp 9th St,-79.99807013822897,40.442876419762
1403,Liberty Ave at Smithfield St,-79.99662905886203,40.443251946234
15285,Liberty Ave at William Penn Pl,-79.99527212963,40.443615493745
20287,Penn Station Stop B,-79.99188431415502,40.444053065003
20312,LAYOVER PENN PARK TERMINAL,-79.98850387566199,40.446425769264
1407,Penn Station Stop C,-79.991934595901,40.444068507144
1408,Liberty Ave opp Smithfield St,-79.99650030224899,40.443362114522
180,Liberty Ave at 7th St (Clark Bldg),-79.99987692923298,40.442473529557
213,7th St at Ft Duquesne Blvd,-80.00080546031501,40.444530493611
22449,Federal St at Isabella St,-80.00394166666501,40.447439933991
22450,Federal St at South Commons,-80.00470551984301,40.449871769496
216,East Ohio St opp Union Pl,-80.00289150000003,40.453050010306
1796,East Ohio St at Cedar Ave,-80.00178518319797,40.453247348988
2088,East Ohio St opp James St,-80.00062060714197,40.453443775214
2089,East Ohio St at Middle St,-79.999201912037,40.453706693349
2090,East Ohio St past Nash St,-79.99808593716801,40.453848605887
20673,East Ohio St at Heinz St,-79.992997237433,40.455215433571
20782,31st St Bridge Ramp at 31st St Bridge,-79.979789827378,40.464543636644
2419,Butler St at #188,-79.948215200395,40.493363170145
2420,Butler St at Isabella St,-79.946659011243,40.494245541753
2421,Butler St at Center St,-79.945540717593,40.495204493958
2422,Butler St at Freeport St,-79.944104087963,40.496410776093
12761,Freeport St at Bridge St,-79.942085477513,40.496715923351
18361,Main St past 62nd St Bridge,-79.939080408726,40.495441185335
12763,Main St at Praeger St,-79.937469500001,40.495246764758
12764,Main St at 6th St,-79.936206988756,40.494775216382
12765,Main St at Ali St,-79.934690646825,40.494590080597
12766,Main St opp 9th St,-79.933677666665,40.494558867468
12767,Main St opp Canal St,-79.932302796959,40.494524480025
12768,Main St at #1113,-79.930494031083,40.494228757121
12769,Main St opp 13th St,-79.929557977514,40.494300272511
12770,Main St opp 14th St,-79.927478982804,40.494416716204
12771,Main St opp 15th St,-79.926517200396,40.494484477833
12772,Main St opp 16th St,-79.925294830687,40.494610724043
12773,Main St opp 17th St,-79.923461833335,40.494671970206
12774,Main St opp 18th St,-79.921884042328,40.494536826675
12775,Main St at #1841,-79.919921073412,40.494329128972
12776,Main St opp 19th St,-79.918121333335,40.494039295514
12777,Main St opp 21st St,-79.916023333334,40.493656098178
19817,Main St opp 23rd St,-79.914451666666,40.493365798889
3304,Freeport Rd opp Western Ave,-79.907527228837,40.490635917162
3305,Freeport Rd opp Center Ave,-79.905471378305,40.490008112735
3306,Freeport Rd opp Eastern Ave,-79.903562974205,40.489489032864
3307,Freeport Rd opp Brilliant Ave (farside),-79.900909028439,40.488736990522
3308,Freeport Rd opp St Margarets Dr,-79.895610222883,40.487258025457
9356,WATERWORKS MALL + GIANT EAGLE,-79.893873319445,40.487686903322
9357,Waterworks Mall opp Marshalls,-79.891987625655,40.488790391847
18827,Waterworks Mall opp Bed Bath & Beyond,-79.890160726855,40.488277907216
15263,FREEPORT RD + #1050,-79.884910666667,40.487235931853
3309,Freeport Rd at Old Freeport Rd (Fox Chapel Rd),-79.883100957674,40.487436865682
12595,Freeport Rd at #1150,-79.8794785,40.488033265146
12596,Freeport Rd opp S Oak Hill Rd,-79.877273499998,40.488742765107
12597,Freeport Rd opp E Oak Hill Rd,-79.875198333333,40.489215765083
12598,Freeport Rd at #1372,-79.872881757275,40.489617910333
12600,Freeport Rd at Old Freeport Rd,-79.870407166666,40.490135098365
12601,Freeport Rd opp Alpha Dr (RIDC Park),-79.86607105357,40.491367459903
12602,Freeport Rd at Center Ave (Blawnox),-79.864986799605,40.491865700126
12603,Freeport Rd at Blaw Ave,-79.863144000002,40.492751931558
12604,Freeport Rd at Maple Ave,-79.860862666667,40.493915431497
12605,Freeport Rd opp Cable Ave,-79.85909098016,40.494762431451
12606,Freeport Rd at Humboldt St,-79.857171231482,40.496133899685
